   ASPAMINOTRANS-RXN hits 43.5 # ASPAMINOTRANS-RXN
   ASNSYNA-RXN hits 14.0 # ASNSYNA-RXN
path 20 fam0 27 fam-found 3 # BENZCOA-PWY
   RXN-10819 hits 18.0 # RXN-10819
   AMINOBENZCOALIG-RXN hits 8.0 # AMINOBENZCOALIG-RXN
   RXN-864 hits 8.0 # RXN-864
path 21 fam0 15 fam-found 11 # BIOTIN-BIOSYNTHESIS-PWY
   RXN-11475 hits 13.0 # RXN-11475
   RXN-11476 hits 104.5 # RXN-11476
   RXN-11477 hits 35.5 # RXN-11477
   RXN-11478 hits 40.5 # RXN-11478
   RXN-11480 hits 104.5 # RXN-11480
   RXN-11481 hits 35.5 # RXN-11481
   RXN-11482 hits 40.5 # RXN-11482
   RXN-11483 hits 8.0 # RXN-11483
   RXN-11484 hits 21.0 # RXN-11484
   DAPASYN-RXN hits 13.0 # DAPASYN-RXN
   DETHIOBIOTIN-SYN-RXN hits 13.0 # DETHIOBIOTIN-SYN-RXN
path 22 fam0 17 fam-found 10 # BRANCHED-CHAIN-AA-SYN-PWY
   RXN-15123 hits 25.5 # RXN-15123
   ACETOOHBUTSYN-RXN hits 86.0 # ACETOOHBUTSYN-RXN
   ACETOOHBUTREDUCTOISOM-RXN hits 30.5 # ACETOOHBUTREDUCTOISOM-RXN
   DIHYDROXYMETVALDEHYDRAT-RXN hits 30.5 # DIHYDROXYMETVALDEHYDRAT-RXN
   BRANCHED-CHAINAMINOTRANSFERILEU-RXN hits 30.5 # BRANCHED-CHAINAMINOTRANSFERILEU-RXN
   ACETOLACTSYN-RXN hits 86.0 # ACETOLACTSYN-RXN
   ACETOLACTREDUCTOISOM-RXN hits 30.5 # ACETOLACTREDUCTOISOM-RXN
   DIHYDROXYISOVALDEHYDRAT-RXN hits 30.5 # DIHYDROXYISOVALDEHYDRAT-RXN
   BRANCHED-CHAINAMINOTRANSFERVAL-RXN hits 30.5 # BRANCHED-CHAINAMINOTRANSFERVAL-RXN
   2-ISOPROPYLMALATESYN-RXN hits 42.0 # 2-ISOPROPYLMALATESYN-RXN
path 23 fam0 13 fam-found 11 # CALVIN-PWY
   TRIOSEPISOMERIZATION-RXN hits 35.5 # TRIOSEPISOMERIZATION-RXN
   SEDOBISALDOL-RXN hits 37.0 # SEDOBISALDOL-RXN
   SEDOHEPTULOSE-BISPHOSPHATASE-RXN hits 5.0 # SEDOHEPTULOSE-BISPHOSPHATASE-RXN
   1TRANSKETO-RXN hits 45.5 # 1TRANSKETO-RXN
   RIB5PISOM-RXN hits 35.5 # RIB5PISOM-RXN
   RIBULP3EPIM-RXN hits 30.5 # RIBULP3EPIM-RXN
   RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN hits 5.0 # RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
   PHOSGLYPHOS-RXN hits 30.5 # PHOSGLYPHOS-RXN
   F16ALDOLASE-RXN hits 37.0 # F16ALDOLASE-RXN
   F16BDEPHOS-RXN hits 31.0 # F16BDEPHOS-RXN
   2TRANSKETO-RXN hits 45.5 # 2TRANSKETO-RXN
path 24 fam0 4 fam-found 1 # CARNMET-PWY
   LCARNCOALIG-RXN hits 10.0 # LCARNCOALIG-RXN
path 25 fam0 22 fam-found 3 # CAROTENOID-PWY
   RXN1F-151 hits 6.5 # RXN1F-151
   RXN1F-150 hits 6.5 # RXN1F-150
   RXN1F-148 hits 6.5 # RXN1F-148
path 26 fam0 4 fam-found 2 # CATECHOL-ORTHO-CLEAVAGE-PWY
   MUCONATE-CYCLOISOMERASE-RXN hits 6.5 # MUCONATE-CYCLOISOMERASE-RXN
   3-OXOADIPATE-ENOL-LACTONASE-RXN hits 6.5 # 3-OXOADIPATE-ENOL-LACTONASE-RXN
path 28 fam0 9 fam-found 4 # CHLOROPHYLL-SYN
   UROGENDECARBOX-RXN hits 23.5 # UROGENDECARBOX-RXN
   RXN0-1461 hits 5.0 # RXN0-1461
   PROTOPORGENOXI-RXN hits 6.5 # PROTOPORGENOXI-RXN
   RXN1F-20 hits 6.5 # RXN1F-20
path 29 fam0 8 fam-found 6 # CITRULBIO-PWY
   GLUTKIN-RXN hits 30.5 # GLUTKIN-RXN
   GLUTSEMIALDEHYDROG-RXN hits 30.5 # GLUTSEMIALDEHYDROG-RXN
   RXN-14903 hits 5.0 # RXN-14903
   ORNITHINE-GLU-AMINOTRANSFERASE-RXN hits 6.5 # ORNITHINE-GLU-AMINOTRANSFERASE-RXN
   ARGINASE-RXN hits 6.5 # ARGINASE-RXN
   ORNCARBAMTRANSFER-RXN hits 16.5 # ORNCARBAMTRANSFER-RXN
path 30 fam0 4 fam-found 4 # COA-PWY
   P-PANTOCYSLIG-RXN hits 36.5 # P-PANTOCYSLIG-RXN
   P-PANTOCYSDECARB-RXN hits 30.5 # P-PANTOCYSDECARB-RXN
   PANTEPADENYLYLTRAN-RXN hits 30.5 # PANTEPADENYLYLTRAN-RXN
   DEPHOSPHOCOAKIN-RXN hits 30.5 # DEPHOSPHOCOAKIN-RXN
path 31 fam0 5 fam-found 4 # COA-PWY-1
   PANTOTHENATE-KIN-RXN hits 30.5 # PANTOTHENATE-KIN-RXN
   P-PANTOCYSDECARB-RXN hits 30.5 # P-PANTOCYSDECARB-RXN
   PANTEPADENYLYLTRAN-RXN hits 30.5 # PANTEPADENYLYLTRAN-RXN
   DEPHOSPHOCOAKIN-RXN hits 30.5 # DEPHOSPHOCOAKIN-RXN
path 32 fam0 8 fam-found 5 # COBALSYN-PWY
   COBINAMIDEKIN-RXN hits 8.0 # COBINAMIDEKIN-RXN
   COBINPGUANYLYLTRANS-RXN hits 8.0 # COBINPGUANYLYLTRANS-RXN
   DMBPPRIBOSYLTRANS-RXN hits 14.5 # DMBPPRIBOSYLTRANS-RXN
   COBALAMIN5PSYN-RXN hits 14.5 # COBALAMIN5PSYN-RXN
   RXN-8770 hits 14.5 # RXN-8770
path 34 fam0 11 fam-found 8 # COLANSYN-PWY
   PHOSPHOGLUCMUT-RXN hits 35.5 # PHOSPHOGLUCMUT-RXN
   UGD-RXN hits 13.0 # UGD-RXN
   UDPGLUCEPIM-RXN hits 38.5 # UDPGLUCEPIM-RXN
   PGLUCISOM-RXN hits 30.5 # PGLUCISOM-RXN
   MANNPISOM-RXN hits 32.0 # MANNPISOM-RXN
   PHOSMANMUT-RXN hits 23.0 # PHOSMANMUT-RXN
   2.7.7.13-RXN hits 19.5 # 2.7.7.13-RXN
   GDPMANDEHYDRA-RXN hits 8.0 # GDPMANDEHYDRA-RXN
path 35 fam0 16 fam-found 13 # COMPLETE-ARO-PWY
   DAHPSYN-RXN hits 35.0 # DAHPSYN-RXN
   3-DEHYDROQUINATE-SYNTHASE-RXN hits 30.5 # 3-DEHYDROQUINATE-SYNTHASE-RXN
   3-DEHYDROQUINATE-DEHYDRATASE-RXN hits 30.5 # 3-DEHYDROQUINATE-DEHYDRATASE-RXN
   SHIKIMATE-5-DEHYDROGENASE-RXN hits 25.5 # SHIKIMATE-5-DEHYDROGENASE-RXN
   SHIKIMATE-KINASE-RXN hits 45.5 # SHIKIMATE-KINASE-RXN
   2.5.1.19-RXN hits 30.5 # 2.5.1.19-RXN
   CHORISMATE-SYNTHASE-RXN hits 37.0 # CHORISMATE-SYNTHASE-RXN
   ANTHRANSYN-RXN hits 91.5 # ANTHRANSYN-RXN
   PRTRANS-RXN hits 30.5 # PRTRANS-RXN
   PRAISOM-RXN hits 49.5 # PRAISOM-RXN
   IGPSYN-RXN hits 30.5 # IGPSYN-RXN
   CHORISMATEMUT-RXN hits 43.5 # CHORISMATEMUT-RXN
   PREPHENATEDEHYDRAT-RXN hits 30.5 # PREPHENATEDEHYDRAT-RXN
path 36 fam0 4 fam-found 2 # CRNFORCAT-PWY
